Admin2,9/19/20
Martin,304
McLeod,440
Meeker,171
Mille Lacs,141
Morrison,195
Mower,1274
Murray,152
Nicollet,496
Nobles,1926
Norman,51
Olmsted,2263
Otter Tail,379
Out of MN,0
Pennington,108
Pine,239
Pipestone,209
Polk,270
Pope,86
Ramsey,10410
Red Lake,37
Redwood,129
Renville,125
Rice,1297
Rock,146
Roseau,110
Scott,2386
Sherburne,1078
Sibley,176
St. Louis,1317
Stearns,3715
Steele,516
Stevens,91
Swift,111
Todd,473
Traverse,29
Unassigned,187
Wabasha,170
Wadena,62
Waseca,425
Washington,3526
Watonwan,498
Wilkin,55
Winona,843
Wright,1508
Yellow Medicine,148
Adams,917
Alcorn,768
Amite,312
Attala,641
Benton,218
Bolivar,1790
Calhoun,506
Carroll,312
Chickasaw,652
Choctaw,178
Claiborne,451
Clarke,535
Clay,571
Coahoma,1123
Copiah,1159
Covington,806
DeSoto,5393
Forrest,2382
Franklin,189
George,744
Greene,343
Grenada,1053
Hancock,561
Harrison,3727
Hinds,6956
Holmes,1091
Humphreys,373
Issaquena,103
Itawamba,752
Jackson,3378
Jasper,549
Jefferson,239
Jefferson Davis,325
Jones,2399
Kemper,286
Lafayette,2072
Lamar,1621
Lauderdale,1994
Lawrence,425
Leake,939
Lee,2585
Leflore,1362
Lincoln,1062
Lowndes,1398
Madison,3200
Marion,841
Marshall,1075
Monroe,1183
Montgomery,454
Neshoba,1534
Newton,756
Noxubee,543
Oktibbeha,1747
Out of MS,0
Panola,1440
Pearl River,862
Perry,406
Pike,1209
Pontotoc,1225
Prentiss,808
Quitman,373
Rankin,3188
Scott,1161
Sharkey,263
Simpson,1012
Smith,521
Stone,350
Sunflower,1411
Tallahatchie,749
Tate,951
Tippah,642
Tishomingo,657
Tunica,479
Unassigned,0
Union,978
Walthall,593
Warren,1380
Washington,2174
Wayne,874
Webster,331
Wilkinson,302
Winston,723
Yalobusha,416
Yazoo,1036
Adair,318
Andrew,213
Atchison,44
Audrain,402
Barry,431
Barton,165
Bates,98
Benton,239
Bollinger,306
Boone,4365
Buchanan,1712
Butler,541
Caldwell,76
Callaway,569
Camden,780
Cape Girardeau,1461
Carroll,133
Carter,71
Cass,1380
Cedar,87
Chariton,44
Christian,1204
Clark,59
Clay,1714
Clinton,197
Cole,1354
Cooper,373
Crawford,345
Dade,47
Dallas,167
Daviess,83
DeKalb,111
Dent,120
Douglas,162
Dunklin,730
Franklin,1496
Gasconade,154
Gentry,116
Greene,5286
Grundy,163
Harrison,100
Henry,161
Hickory,86
Holt,75
Howard,162
Howell,498
Iron,47
Jackson,6987
Jasper,3492
Jefferson,3783
Johnson,975
Kansas City,10470
Knox,48
Laclede,498
Lafayette,408
Lawrence,507
Lewis,71
Lincoln,704
Linn,59
Livingston,377
Macon,139
Madison,269
Maries,67
Marion,626
McDonald,1042
